#Urban population growth: annual %
"country",1960,"1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"Australia",2.783581409,2.46842179787434,2.91704070271785,2.39195895417938,2.43425939028655,2.42940537799706,2.70870168036086,1.68599120573173,2.18608520793634,2.51317681889757,2.38858477856708,3.53404849215242,1.99166517500665,1.68210050661765,2.68426925261969,1.38400099976439,0.965174949756175,1.08917531409708,1.12537382718251,1.04311676228579,1.18140311534418,1.51686539749241,1.59749954483663,1.18046299106425,1.06208741780832,1.29716242474465,1.62494622443216,1.50694201110621,1.62216006891988,1.67851821909047,1.4659274808423,1.43978062114317,1.37832134766028,1.14299568066061,1.22289716093513,1.37213833952744,1.55949316404852,1.36379747663876,1.28670836887101,1.38638162912,1.43555545463679,1.58143704477998,1.45310049406381,1.46599389318155,1.39081241033163,1.55071530096899,1.6709945562408,1.98904681791975,2.1964323455557,2.28076558769585,1.76755799346425,1.59170603254659
"Austria",0.596972371,0.638357781726371,0.702700551785953,0.732086798122687,0.756191900732856,0.739293283064788,0.777354401262097,0.823325852322564,0.595097328414672,0.421117234962607,0.424947143931785,0.471679840841715,0.606618144366093,0.579462726976804,0.195620634918891,-0.239911001028793,-0.161369129206562,0.053691307934836,-0.065662568433069,-0.155167514858052,0.015399762087493,0.308528097571587,0.125198266492122,-0.10814831994775,0.047129200607662,0.100346546498171,0.124232774350187,0.123931177913809,0.202181066061082,0.511087401741496,0.822538444046558,1.00906149626819,1.11119454695437,0.835269068964799,0.395509542432343,0.163745124482123,0.135019833748789,0.113316608322972,0.109728368101003,0.194563153264961,0.240466652446502,0.605651199239498,0.714336743824816,0.708996847985285,0.841784938254442,0.902150086681459,0.770966413386776,0.663436389413138,0.709062957921292,0.613363932279317,0.565552878082512,0.663647431743418
"Azerbaijan",4.28278669,2.75891858313105,2.77272590027605,2.71517603254805,2.57528511949786,2.38354818316001,2.31569516038689,2.13390358123103,1.97205361467716,1.83964454727919,1.72963840895533,2.84272903896641,2.73680794225683,2.63891548462806,2.54887926589115,2.46795417380382,2.04447472627467,1.97525272196361,1.92697981723899,1.96549282958684,1.82086990152809,1.86567838629706,1.80853053628567,1.81550273345861,1.83700826720035,1.8721175231688,1.7297587656472,1.76138394561962,1.69111673107931,1.24337399398108,1.13248405585249,0.976547930064868,0.935937576284934,0.936639603983525,0.765803899452282,0.56231491070569,0.695213450226029,0.649046105982083,0.632511115579085,0.559965956822012,0.502875099362688,1.1643846413782,1.13428014704483,1.14425707434382,1.26054451058618,1.40590535784462,1.48418283958971,1.51797059590562,2.48249936193813,2.45733499818411,1.56952692493113,1.70309102412055
"Bahamas",6.106470262,6.18212562878313,6.25709389711215,6.21280992335447,6.04689651793646,5.79558894962809,5.49327981015171,5.24817030711085,4.92884030470994,4.52915266603573,4.09757749511635,3.60342666410346,3.22693549838316,2.98441740984346,2.91346564924721,2.96097983882731,2.98619788161116,3.03158602765919,3.06735121513502,3.07663459586057,3.06587247190123,3.19363383970072,3.19415253999904,3.15271476301439,3.06203647535912,2.94025409538979,2.6955203447101,2.57668867532529,2.50969971650877,2.51013018439323,2.55122689039998,2.1058288750327,2.1472424795848,2.12110336162199,2.00898685648694,1.84411748007275,1.65037485267641,1.50443746824077,1.42455740293081,1.43197181905975,1.5004537643666,1.5715141894449,1.63219943494739,1.67885923144696,1.70196831480592,1.70592236415225,1.7029632819033,1.70774118754414,1.68740841106892,1.63570760486441,1.56397108604346,1.4739069792504
"Bahrain",5.25097546,3.29868124335069,3.05742563770069,2.83442438642093,2.64156092606308,2.49797676050934,2.63339371178505,2.5765487233877,2.69055352073663,3.00793638559458,3.46306620370275,3.83480911465138,4.18179775962969,4.66161507408772,5.27904417451701,5.89725807766301,6.5088756375996,6.88298963773648,6.74450187653156,6.06717064282435,5.12080023206714,4.11251870699207,3.3429071149942,2.91179609540812,2.91251768990499,3.18727968841814,3.50902431831402,3.71415942551385,3.75734338351912,3.58797920716346,3.29253641514272,2.81640372796006,2.59167830013945,2.46416343577974,2.46272081010244,2.54449376488657,2.79113594864987,3.09141195802959,3.02777754324731,2.50506884726564,1.80328657870166,0.684799829136651,-0.057869727208843,0.800874821066312,3.74077228534818,7.61105962867566,11.3318090774406,13.2262206846889,12.8653357232899,10.605811059487,7.63732303079856,4.85197516487738
"Bangladesh",3.856251352,6.91863782571976,6.71055001615804,6.58048742679271,6.54430098598228,6.54890343012029,7.57102324650376,7.5035267485219,7.19594393184834,6.59327266842206,5.83379574958056,7.17732611309174,6.32718837993738,5.83523508998459,5.81243195494526,6.11607902157513,11.7738851050392,11.4012589823902,10.9982411206219,10.46735590622,9.86347513609876,6.26365494305792,6.08691346340955,5.94005042017914,5.83968334046416,5.76668627291737,5.32910259727817,5.25427547705116,5.1488681338013,5.0061088151324,4.84108078895926,4.24133018249185,4.10146489009473,3.98551059431141,3.90151618146548,3.83856259143462,3.79083002276798,3.71981157327238,3.64440036837272,3.56190613923163,3.47296795728181,3.51864436355328,3.43509172519158,3.32324481701984,3.17540895151588,3.00907184044094,2.99428273239025,2.83626611884239,2.7386827224458,2.72038945784563,2.75626490020667,2.96754135860167
"Barbados",0.441147975,0.519117726753498,0.592137495249876,0.628748389218054,0.606460408407255,0.543639091283745,0.486170365256939,0.438462706808262,0.437502938431221,0.500525547590349,0.605342647062121,1.09598543642399,1.19612715238154,1.23017104878172,1.17352554068279,1.05640963891837,0.853332646635179,0.739605788307821,0.67842925011161,0.696231438899954,0.76700096421007,-1.4702597037723,-1.43708381157325,-1.42912452993326,-1.46109641311093,-1.52253414650947,-1.39021628478825,-1.44286080795839,-1.49967450267263,-1.55799033296227,-1.61828426179633,2.00183957490798,1.94829662074315,1.90695273171222,1.88143377512861,1.86583251098971,1.91319208534374,1.89828435069104,1.87353007278363,1.83527933273496,1.78740692476839,1.72202400842601,1.67782891342444,1.6399652254773,1.61279335816587,1.59213565476479,1.51252430143442,1.49415562443272,1.47953082991616,1.46603990434895,1.45402710903276,1.37375725043916
"Belarus",3.16156329,4.36256203273314,4.32790991035004,4.26397822339596,4.17138821008314,4.05091186403887,4.03892926364757,3.96961430475592,3.87200291150658,3.74698512621102,3.59537281581916,3.78952566002708,3.67395469294396,3.53243915980889,3.36542577703582,3.17315839682592,2.76706530971352,2.79781182001431,2.85046092853094,2.76767672322635,2.71862629156689,2.56335236048395,2.51399986239272,2.48647874337919,2.44989578845994,2.39443949340173,2.0121487545141,1.99003509671074,1.58456038993543,1.57693945554744,1.4519526513368,0.636893029004112,0.799977930664331,0.805885867052035,0.460378061934234,0.251131156968786,0.266818682385861,0.17318984804877,0.118191618068766,0.252023354982752,0.287399711571383,0.330412318485427,0.218690243526903,0.153663004237587,0.162148831878735,0.161573737760323,0.181261416261775,0.305304999939617,-0.420694162839977,-0.382697916040602,0.428912588071739,0.364154696040093
"Belgium",0.666383731,0.478540529042263,0.544175544791456,0.893514487400783,1.09217251241206,1.05362001690379,0.826953388784573,0.707906231938201,0.544423332405151,0.433974130492716,0.24919107533767,0.317913663457902,0.52706869454143,0.449958245241856,0.449750331970638,0.42391250967841,0.369220988166651,0.313663797121547,0.28312309790805,0.279346043703581,0.299316372989681,0.112413903083261,0.08774195858199,0.106842459549769,0.113153613115926,0.144310435657363,0.12879840630595,0.178315008681148,0.410902586771323,0.456137961575673,0.3910394766132,0.454566090141712,0.488617632339456,0.473473980281202,0.390963975790975,0.29213529317126,0.26583964655047,0.312388763177387,0.283875006520798,0.299487006161448,0.312766476114567,0.37977743761245,0.484082344183582,0.454442135991166,0.468576063788415,0.585830720652594,0.69326548003751,0.76802673785392,0.823661402251097,0.838272786717764,0.949127681706787,1.05478930974955
"Belize",2.83419717,2.87572522649575,2.99602970803807,2.96205492227954,2.72205441109189,2.37090427994748,2.08279342908094,1.81830462177799,1.55527722917343,1.2985796873136,1.06737223015961,1.13608643127819,0.906903102189542,0.861758565784117,1.07977836634508,1.45079468000739,1.78800550580946,2.13483873551181,2.36191787312583,2.40563720396354,2.34151254646803,2.24380612166896,2.21562246702931,1.62825564032051,2.74095640727823,2.17671831721715,2.10083455151384,2.38155260738397,2.19371293464428,1.4737613783753,2.71568165791215,2.61911997899713,2.55267150390337,2.97851973843953,2.89281909017737,2.58124441252541,2.58404885297712,3.61550135841721,3.70425212258868,1.98555249540819,2.79391053198759,2.38928044099435,2.45196682114684,2.57935586149129,2.62117455889578,2.62143598835967,2.64846769885323,2.71346922448713,2.75552135836035,2.79382433276088,2.79534267597089,2.97815174745281
